YEAR,TICKER,SCOPE_1,SECTOR
2009,AA,26014142.0,"Metal smelting, refining & forming"
2009,AAL,26900000.0,Air transport
2009,AAPL,24476.0,Electrical & electronic equipment
2009,ABT,824822.0,Medical equipment & supplies
2009,ACN,15366.0,
2009,ADBE,2793.0,IT & software development
2009,ADI,48447.0,Electrical & electronic equipment
2009,ADP,20026.0,Specialized professional services
2009,ADTN,24656.68,Electrical & electronic equipment
2009,AEE,62861698.0,Energy utility networks
2009,AEP,136602600.0,Thermal power generation
2009,AES,74121544.0,Thermal power generation
2009,AET,8710.0,
2009,AFL,3857.0,Financial services
2009,AKAM,109.0,IT & software development
2009,ALL,37094.0,Financial services
2009,AMAT,25740.0,Electrical & electronic equipment
2009,AMCC,1.0,
2009,AMD,36319.0,Electrical & electronic equipment
2009,AMT,5536.0,Construction
2009,ANF,7810.0,Discretionary retail
2009,ANTM,9617.0,Financial services
2009,APA,10985000.0,
2009,APC,7872285.0,Oil & gas extraction & production
2009,APD,12650000.0,Chemicals
2009,ASH,750000.0,Chemicals
2009,AVA,1882399.0,
2009,AVP,70735.0,Chemicals
2009,AVY,170904.0,Paper products & packaging
2009,AYE,29874350.0,
2009,BA,579000.0,Transportation equipment
2009,BAC,134301.0,Financial services
2009,BAP,493.0,
2009,BAX,323000.0,Medical equipment & supplies
2009,BBT,1942.0,
2009,BDX,125858.0,Medical equipment & supplies
2009,BEN,8099.0,Financial services
2009,BERY,63000.0,Light manufacturing
2009,BF/B,127354.0,Food & beverage processing
2009,BIIB,49248.0,Biotech & pharma
2009,BK,9483.0,Financial services
2009,BLL,331282.0,Metal products manufacturing
2009,BMS,146123.0,Chemicals
2009,BMY,312431.0,Biotech & pharma
2009,BRCD,878.0,
2009,BRCM,2700.0,
2009,BSX,29500.0,Medical equipment & supplies
2009,C,45236.0,Financial services
2009,CA,3631.0,IT & software development
2009,CAG,1078739.0,Food & beverage processing
2009,CAH,152221.51,"Trading, wholesale, distribution, rental & leasing"
2009,CAT,638000.0,
2009,CB,14741.0,Financial services
2009,CBG,6098.0,
2009,CBT,3490000.0,Chemicals
2009,CCE,978368.0,
2009,CCL,10264098.0,
2009,CEG,15678960.0,
2009,CELG,8332.0,Biotech & pharma
2009,CHTT,2447.0,
2009,CINF,16658.0,Financial services
2009,CL,260906.0,Chemicals
2009,CLF,3316185.0,
2009,CLX,73312.0,Chemicals
2009,CMA,8088.0,Financial services
2009,CMI,205919.0,Powered machinery
2009,CMS,18196261.0,Thermal power generation
2009,COF,14720.0,Financial services
2009,COL,21157.1,
2009,COP,60679122.0,Oil & gas extraction & production
2009,CPB,492144.0,Food & beverage processing
2009,CPWR,2727.0,
2009,CRM,367.0,IT & software development
2009,CSCO,53579.0,IT & software development
2009,CSX,4772785.0,Rail transport
2009,CTSH,21567.0,
2009,CVA,5763769.0,Non-energy utilities
